feature,score
timeInterval_first,1611
nearestInterval_min6,1164
action6_rate,1074
nearestTime1,1071
nearestInterval_min5,1020
action5_rate,978
nearestTime5,969
timeInterval_mean,894
action1_rate,839
timeInterval_min,818
timeInterval_last,791
timeInterval_var,688
nearestInterval_mean5,679
nearestInterval_var5,620
nearestDistance5,498
nearestDistance1,455
nearestInterval_mean6,409
nearestInterval_min7,399
nearestInterval_max5,384
nearestInterval_max6,356
action2_rate,356
nearestTime6,328
action4_rate,324
nearestInterval_var6,294
action7_rate,283
nearestInterval_mean7,249
action8_rate,237
nearestInterval_min2,229
action3_rate,225
type_last1,220
isOrder_0,204
nearestDistance2,181
nearestTime8,179
nearestTime4,174
nearestInterval_max7,174
nearestDistance6,173
nearestDistance3,172
nearestInterval_mean4,170
nearestInterval_min8,170
nearestInterval_min4,168
nearestInterval_min3,161
nearestTime2,147
nearestDistance4,145
nearestInterval_var8,140
type_first1,136
nearestInterval_mean8,134
isHistory_0,129
nearestInterval_mean3,127
nearestInterval_mean2,123
nearestDistance8,123
action9_rate,122
nearestInterval_var7,113
nearestInterval_max2,107
nearestInterval_mean9,98
nearestInterval_var2,97
nearestDistance9,93
nearestInterval_max8,92
nearestInterval_var9,91
nearestInterval_min9,91
nearestInterval_var4,89
nearestInterval_max3,88
nearestInterval_max9,88
nearestTime3,87
isHistory_1,73
nearestInterval_var3,67
nearestTime7,64
isOrder_1,61
nearestInterval_max4,59
nearestTime9,57
isOrder_2,47
nearestDistance7,33
